name,module,meaning,occurence,section,dataType,min,max,argNb,text
addsamp,sampler,"syntax : pitch, velocity, duration, onset, risetime, decaytime, steadystate",101,3,list,,,7,7500 156 1000 90 90 150 110
addsyn,synth,"Syntax : channelNb, amp1, time1, amp2, time2, pitch, vib-depth, vib-freq, table",381,"3,4",list,,,11,2 1 100 50 300 117 1000 6400 0. 0. 4
amp1,paf,amplitude level outcoming (before freqShift),33,"1,2,3,13",number,0,156,,
amp2,paf,amplitude level outcoming (before freqShift),31,"1,2,3,13",number,0,140,,
amp3,paf,amplitude level outcoming (before freqShift),26,"1,2,3,13",number,0,150,,
amp4,paf,amplitude level outcoming (before freqShift),25,"1,2,3,13",number,0,150,,
amp5,paf,amplitude level outcoming (before freqShift),23,"1,2,3,4,5,13",number,0,140,,
amp6,paf,amplitude level outcoming (before freqShift),20,"1,2,3,4,5",number,0,127,,
amp7,paf,amplitude level outcoming (before freqShift),15,"1,2,3,4,5",number,0,127,,
amp8,paf,amplitude level outcoming (before freqShift),13,"1,3,4,5",number,0,120,,
amparpeg,paf,removed,,,,,,,
ampgliss,paf,ignored,,,,,,,
amptutti4,paf,affects the 4 amp of Paf channels,25,"1,2,3,4,5,7,13",number,0,130,,
amptutti5,paf,affects the 5 amp of Paf channels,1,3,number,0,,,
amptutti6,paf,affects the 6 amp of Paf channels,3,"3,4",number,0,127,,
amptutti8,paf,affects all the amp of Paf channels,31,"1,2,3,5,7",number,0,,,
bw1,paf,bandwidth of the forming (MIDI),8,"1,3,13",number,0,68,,
bw2,paf,bandwidth of the forming (MIDI),5,"1,3",number,0,54,,
bw3,paf,bandwidth of the forming (MIDI),4,"1,3",number,43,66,,
bw4,paf,bandwidth of the forming (MIDI),3,1,number,40,43,,
bw5,paf,bandwidth of the forming (MIDI),5,"1,2,3",number,55,98,,
bw6,paf,bandwidth of the forming (MIDI),4,"2,3",number,67,73,,
bw7,paf,bandwidth of the forming (MIDI),1,3,number,43,,,
bwarpeg,paf,removed,,,,,,,
bwgliss,paf,ignored,,,,,,,
cf1,paf,center frequency (MIDI),11,"1,3,13",number,52,104,,
cf2,paf,center frequency (MIDI),8,"1,3",number,52,114,,
cf3,paf,center frequency (MIDI),6,"1,3",number,70,104,,
cf4,paf,center frequency (MIDI),5,1,number,71,104,,
cf5,paf,center frequency (MIDI),4,"1,3",number,71,83,,
cf6,paf,center frequency (MIDI),3,3,number,81,,,
cf7,paf,center frequency (MIDI),1,3,number,62,,,
cfarpeg,paf,removed,,,,,,,
cfgliss,paf,ignored,,,,,,,
chapo,chapo,syntax : channelNb  frequency(Hz),1092,"6,12",number,0,27,,
chapo-tab,chapo,defines the wavetable,32,"6,12",number,3,4,,
chat,chapo,amplitude level outcoming,20,"6,12",number,97,127,,
dist,spat,unused in the patch,2,1,number,106,,,
dto4,direct,direct to spat,20,"4,5,6,9,11,12,13",number,0,127,,
dtof,direct,direct to freqShift,23,all,number,0,127,,
dtoh,direct,direct to harm,60,"1,2,4,5,6,7,8,9,10,11,12,13",number,0,137,,
dtor,direct,direct to reverb,76,"1,2,4,5,6,7,8,9,10,11,12,13",number,0,137,,
env1,paf,specifies an amplitude envelope with points (amp time),42,"3,4,7",list,,,6,"-1, 150 5, 120 900, -2"
env2,paf,specifies an amplitude envelope with points (amp time),41,"3,4,7",list,,,6,"-1, 150 5, 120 900, -2"
env3,paf,specifies an amplitude envelope with points (amp time),42,"3,7",list,,,6,"-1, 150 5, 110 500, -2"
env4,paf,specifies an amplitude envelope with points (amp time),38,"3,4",list,,,6,"-1, 150 5, 110 500, -2"
env5,paf,specifies an amplitude envelope with points (amp time),39,"3,4",list,,,6,"-1, 150 5, 110 500, -2"
env6,paf,specifies an amplitude envelope with points (amp time),36,3,list,,,8,"-1, 1 140 56 5, 0 200, -2"
env7,paf,specifies an amplitude envelope with points (amp time),26,3,list,,,8,"-1, 140 5, 140 200, 0 1000, -2"
